"","D1","D2","D3","D4"
"applying(face)",-0.711801177839468,0.0833261309291639,-0.108434988194783,0.23318221667184
"asking(comparing)",-0.565595065739386,0.176135308323371,0.235937177540453,-0.207846876042448
"celebrating(together)",0.184770702224202,-0.581389322642304,0.129359607204084,-0.154323946859953
"counting",-0.384512597877856,0.651396053713503,-0.103030003817662,-0.00643622033794432
"gesturing(no)",-0.355287801779212,-0.29657209453616,-0.0607890245306262,-0.392596764272414
"fanning",-0.454840204161659,-0.381340913950821,0.223699017269297,-0.0380697941586777
"gesturing(move_here)",-0.468715138332307,-0.341669042539868,0.143963401701322,0.265686383475519
"getting_down(ducking)",0.528219582980013,0.0953426841203716,0.349945375351867,-0.19086888482822
"hugging",0.164437390749567,-0.283154124674234,0.375634647682617,0.307226123754773
"kicking(passing)",0.626031825486197,-0.270574020227528,-0.213620410700525,0.142745929267439
"kicking(aggressively)",0.760853293639925,-0.187632802108978,-0.0957262920754416,-0.288093966648268
"laughing",0.0614116282333267,-0.2196374060772,-0.00891370052113802,0.50910274015753
"leaving",0.250186907493931,-0.155521398600391,-0.60359179704836,-0.188393457648205
"unscrewing",-0.282804613271567,0.35936032820624,0.183112859903087,0.354826814186324
"prodding",0.0894132831456812,0.668698435800009,0.1285399842866,-0.147827997948431
"filling",-0.0642395893066813,0.487956656984528,0.357423148521164,0.201799070076385
"scratching(head)",-0.515310769051786,-0.0356963269172781,-0.4449681626718,-0.0495559229455329
"smashing",0.246209707307549,-0.0505280077427543,0.100515241375971,-0.513079102255848
"clenching_fist",-0.00422117986167258,0.311320904988983,-0.295093122409201,-0.427910675235987
"staggering",0.715404491267976,0.0738578420146192,0.119987089323928,0.219131400995251
"stretching_self",-0.00980616860071033,0.132072525427855,-0.381608468549666,0.294769004430734
"steadying_somone",-0.0551739024831457,-0.0651382387131838,0.510779351820858,-0.165027202652491
"aching(back)",0.403988968810915,0.416119231629455,-0.317290251903677,0.156631535519077
"waving(hello)",-0.158619573034381,-0.586732403407139,-0.225830679556633,0.0849295932993409
