"","stim1","stim2","ResponceMeans"
"1","004","021",6.53921568627451
"2","004","026",5.64705882352941
"3","004","029",6.2156862745098
"4","004","051",4.45098039215686
"5","004","060",4.48039215686275
"6","004","062",7.13725490196078
"7","004","073",6.53921568627451
"8","004","081",7.30392156862745
"9","004","119",6.38235294117647
"10","004","154",4.36274509803922
"11","004","166",7.01960784313725
"12","004","183",6.15686274509804
"13","004","185",6.46078431372549
"14","004","231",6.03921568627451
"15","007","004",4.76470588235294
"16","007","021",5.84313725490196
"17","007","051",4.72549019607843
"18","007","060",5.23529411764706
"19","007","079",7.08823529411765
"20","007","081",7.42156862745098
"21","007","088",7.22549019607843
"22","007","119",6.34313725490196
"23","007","122",5.56862745098039
"24","007","176",6.49019607843137
"25","007","231",6.11764705882353
"26","021","051",4.80392156862745
"27","021","060",5.74509803921569
"28","021","062",5.22549019607843
"29","021","073",5.63725490196078
"30","021","079",5.81372549019608
"31","021","081",5.58823529411765
"32","021","088",6.80392156862745
"33","021","119",6.95098039215686
"34","021","122",6.87254901960784
"35","021","178",5.7156862745098
"36","021","231",4.52941176470588
"37","026","007",5.14705882352941
"38","026","021",6.97058823529412
"39","026","051",6.35294117647059
"40","026","060",6.37254901960784
"41","026","073",6.66666666666667
"42","026","079",6.82352941176471
"43","026","081",7.43137254901961
"44","026","088",7.1078431372549
"45","026","105",3.90196078431373
"46","026","119",4.14705882352941
"47","026","154",6.47058823529412
"48","026","166",6.80392156862745
"49","026","185",6.58823529411765
"50","026","208",6.7156862745098
"51","026","231",6.96078431372549
"52","029","007",5.09803921568627
"53","029","021",5.44117647058824
"54","029","026",6.6078431372549
"55","029","051",4.16666666666667
"56","029","062",6.11764705882353
"57","029","119",6.7156862745098
"58","029","154",5.99019607843137
"59","029","178",6.7156862745098
"60","029","185",5.2843137254902
"61","051","060",2.79411764705882
"62","051","073",5.64705882352941
"63","051","079",6.59803921568627
"64","051","085",5.51960784313725
"65","051","088",7.05882352941176
"66","051","105",5.16666666666667
"67","051","154",5.95098039215686
"68","051","176",6.85294117647059
"69","051","178",6.75490196078431
"70","051","208",6.77450980392157
"71","060","029",4.86274509803922
"72","060","073",4.81372549019608
"73","060","079",6.73529411764706
"74","060","081",7.14705882352941
"75","060","088",6.99019607843137
"76","060","105",5.87254901960784
"77","060","122",6.2156862745098
"78","060","166",7
"79","060","231",4.24509803921569
"80","062","007",6.67647058823529
"81","062","026",6.99019607843137
"82","062","051",6.25490196078431
"83","062","060",6.63725490196078
"84","062","079",5.22549019607843
"85","062","088",6.7156862745098
"86","062","105",6.72549019607843
"87","062","122",6.17647058823529
"88","062","166",4.38235294117647
"89","062","208",5.80392156862745
"90","062","231",6.67647058823529
"91","073","007",5.66666666666667
"92","073","029",6.04901960784314
"93","073","062",6.61764705882353
"94","073","081",6.82352941176471
"95","073","119",6.57843137254902
"96","073","154",6.70588235294118
"97","073","185",5.37254901960784
"98","073","208",6.69607843137255
"99","073","231",5.18627450980392
"100","079","004",7.1078431372549
"101","079","029",6.48039215686275
"102","079","073",5.86274509803922
"103","079","081",3.3921568627451
"104","079","085",5.86274509803922
"105","079","088",6.25490196078431
"106","079","105",6.67647058823529
"107","079","154",7.00980392156863
"108","079","166",5.75490196078431
"109","079","183",6.09803921568627
"110","079","208",4.91176470588235
"111","079","231",6.25490196078431
"112","081","029",6.38235294117647
"113","081","051",6.62745098039216
"114","081","062",4.79411764705882
"115","081","088",6.7843137254902
"116","081","105",7.2843137254902
"117","081","154",7.42156862745098
"118","081","176",5.87254901960784
"119","081","178",4.68627450980392
"120","081","183",6.00980392156863
"121","081","208",6.54901960784314
"122","085","004",5.95098039215686
"123","085","007",5.86274509803922
"124","085","021",4.74509803921569
"125","085","026",6.46078431372549
"126","085","029",6.1078431372549
"127","085","060",4.47058823529412
"128","085","062",6.13725490196078
"129","085","073",4.50980392156863
"130","085","081",6.91176470588235
"131","085","088",7.1078431372549
"132","085","105",5.82352941176471
"133","085","122",6.09803921568627
"134","085","154",6.41176470588235
"135","085","166",6.85294117647059
"136","085","176",7.01960784313725
"137","085","178",5.61764705882353
"138","085","183",5.8921568627451
"139","085","208",5.98039215686275
"140","085","231",4.97058823529412
"141","088","004",7.15686274509804
"142","088","029",6.18627450980392
"143","088","073",6.17647058823529
"144","088","105",7.04901960784314
"145","088","122",7.05882352941176
"146","088","154",6.61764705882353
"147","088","166",6.63725490196078
"148","088","183",6.77450980392157
"149","088","231",6.65686274509804
"150","105","004",4.08823529411765
"151","105","007",4.74509803921569
"152","105","021",6.67647058823529
"153","105","029",5.62745098039216
"154","105","073",6.02941176470588
"155","105","122",2.86274509803922
"156","105","154",6.49019607843137
"157","105","176",6.7156862745098
"158","105","231",6.58823529411765
"159","119","051",6.37254901960784
"160","119","060",6.47058823529412
"161","119","062",6.7843137254902
"162","119","079",6.72549019607843
"163","119","081",6.97058823529412
"164","119","085",6.51960784313725
"165","119","088",7.12745098039216
"166","119","105",5.14705882352941
"167","119","122",3.88235294117647
"168","119","154",6.61764705882353
"169","119","166",6.41176470588235
"170","119","178",6.87254901960784
"171","119","208",6.72549019607843
"172","122","004",5.52941176470588
"173","122","026",3.8921568627451
"174","122","029",6.58823529411765
"175","122","051",6.2843137254902
"176","122","073",6.06862745098039
"177","122","079",7.20588235294118
"178","122","081",7.33333333333333
"179","122","166",6.45098039215686
"180","122","183",6.14705882352941
"181","122","208",6.68627450980392
"182","154","007",5.33333333333333
"183","154","021",6.58823529411765
"184","154","060",5.44117647058824
"185","154","062",7.01960784313725
"186","154","122",6.50980392156863
"187","154","166",7.04901960784314
"188","154","178",6.94117647058824
"189","154","183",5.87254901960784
"190","166","007",6.53921568627451
"191","166","021",4.6078431372549
"192","166","029",5.8921568627451
"193","166","051",5.96078431372549
"194","166","073",6.05882352941176
"195","166","081",4.12745098039216
"196","166","105",6.48039215686275
"197","166","178",5.64705882352941
"198","166","183",5.99019607843137
"199","166","185",5.84313725490196
"200","166","231",5.81372549019608
"201","176","004",6.53921568627451
"202","176","021",6.40196078431373
"203","176","026",6.00980392156863
"204","176","029",6.26470588235294
"205","176","060",6.30392156862745
"206","176","062",6.1078431372549
"207","176","073",6.76470588235294
"208","176","079",6.53921568627451
"209","176","088",5.93137254901961
"210","176","119",6.12745098039216
"211","176","122",6.33333333333333
"212","176","154",6.06862745098039
"213","176","166",5.40196078431373
"214","176","178",6.86274509803922
"215","176","185",6.34313725490196
"216","176","208",6.04901960784314
"217","176","231",6.79411764705882
"218","178","004",7.22549019607843
"219","178","007",6.92156862745098
"220","178","026",7.2156862745098
"221","178","060",6.94117647058824
"222","178","062",4.8921568627451
"223","178","073",5.36274509803922
"224","178","079",4.2156862745098
"225","178","088",5.98039215686275
"226","178","105",6.84313725490196
"227","178","122",6.57843137254902
"228","178","231",6.68627450980392
"229","183","007",5.59803921568627
"230","183","021",5.7156862745098
"231","183","026",6.33333333333333
"232","183","029",5.85294117647059
"233","183","051",5.79411764705882
"234","183","060",6.25490196078431
"235","183","062",6.20588235294118
"236","183","073",5.73529411764706
"237","183","105",5.50980392156863
"238","183","119",6.3921568627451
"239","183","176",5.68627450980392
"240","183","178",6.73529411764706
"241","183","208",4.97058823529412
"242","183","231",6.27450980392157
"243","185","007",5
"244","185","021",4.99019607843137
"245","185","051",5.30392156862745
"246","185","060",5.16666666666667
"247","185","062",4.93137254901961
"248","185","079",6.48039215686275
"249","185","081",6.57843137254902
"250","185","085",5.98039215686275
"251","185","088",6.93137254901961
"252","185","105",5.79411764705882
"253","185","119",6.77450980392157
"254","185","122",6.05882352941176
"255","185","154",6.25490196078431
"256","185","178",6.22549019607843
"257","185","183",5.97058823529412
"258","185","231",5.97058823529412
"259","208","004",6.68627450980392
"260","208","007",6.70588235294118
"261","208","021",6.84313725490196
"262","208","029",6.87254901960784
"263","208","060",6.50980392156863
"264","208","088",6.11764705882353
"265","208","105",6.53921568627451
"266","208","154",5.77450980392157
"267","208","166",6.93137254901961
"268","208","178",5.35294117647059
"269","208","185",6.01960784313725
"270","208","231",6.96078431372549
"271","231","029",5.12745098039216
"272","231","051",4.36274509803922
"273","231","081",7.1078431372549
"274","231","119",6.56862745098039
"275","231","122",6.74509803921569
"276","231","154",4.63725490196078
